0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:00:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=3&v-pushId=8418992f-177c-47b7-b716-20de7f385586&X-Atmosphere-tracking-id=1e73c39a-7128-4585-bc56-38566a43ded3&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655848753930 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:07:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=3&v-pushId=8418992f-177c-47b7-b716-20de7f385586&X-Atmosphere-tracking-id=1e73c39a-7128-4585-bc56-38566a43ded3&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655849174678 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:08:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=3&v-pushId=8418992f-177c-47b7-b716-20de7f385586&X-Atmosphere-tracking-id=1e73c39a-7128-4585-bc56-38566a43ded3&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655849234783 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:08:21 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=3 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:09:15 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=3&v-pushId=8418992f-177c-47b7-b716-20de7f385586&X-Atmosphere-tracking-id=1e73c39a-7128-4585-bc56-38566a43ded3&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655849294880 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:09:52 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=3 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:10:15 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=3&v-pushId=8418992f-177c-47b7-b716-20de7f385586&X-Atmosphere-tracking-id=1e73c39a-7128-4585-bc56-38566a43ded3&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655849355004 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:11:15 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=3&v-pushId=8418992f-177c-47b7-b716-20de7f385586&X-Atmosphere-tracking-id=1e73c39a-7128-4585-bc56-38566a43ded3&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655849415099 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:11:23 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=3 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [22/Jun/2022:00:12:15 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=3&v-pushId=8418992f-177c-47b7-b716-20de7f385586&X-Atmosphere-tracking-id=1e73c39a-7128-4585-bc56-38566a43ded3&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655849475208 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:11:52 +0200] "GET / HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:11:52 +0200] "GET /index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:11:52 +0200] "GET /magnolia-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:11:53 +0200] "GET /fonts/MagnoliaIcons.woff?s8o9cj HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:11:53 +0200] "GET /images/logo-magnolia.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:11:53 +0200] "GET /fonts/roboto/light/Roboto-Light.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:11:53 +0200] "GET /fonts/roboto/medium/Roboto-Medium.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:11:53 +0200] "GET /fonts/roboto/regular/Roboto-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:11:53 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:01 +0200] "GET /magnoliaAuthor/.magnolia/admincentral HTTP/1.1" 401 1482
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:01 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/login.css HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:01 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/normalize.css HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:01 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/img/logo-magnolia.gif HTTP/1.1" 200 296427
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:02 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/img/user-public.svg HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:02 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/img/lock.svg HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:02 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/img/background.png HTTP/1.1" 200 861726
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:02 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/fonts/Roboto-Light.woff2 HTTP/1.1" 200 64389
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:02 +0200] "GET /magnoliaAuthor/.resources/defaultMagnoliaLoginForm/fonts/Roboto-Regular.woff2 HTTP/1.1" 200 64701
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:09 +0200] "POST /magnoliaAuthor/.magnolia/admincentral HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:09 +0200] "GET /magnoliaAuthor/.magnolia/admincentral;jsessionid=DEAD9DDD15DAAF43EC0D6D5EB65EB7A9 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/.magnolia/admincentral HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/APP/PUBLISHED/jquery-migrate-3.3.2.min.js HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/APP/PUBLISHED/jquery-3.6.0.min.js HTTP/1.1" 200 30947
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/vaadinBootstrap.js?v=8.15.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/vaadinPush.js?v=8.15.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/themes/resurface-admincentral/styles.css?v=8.15.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/widgetsets/info.magnolia.widgetset.MagnoliaWidgetSet/info.magnolia.widgetset.MagnoliaWidgetSet.nocache.js?1655881930117 HTTP/1.1" 200 4439
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/widgetsets/info.magnolia.widgetset.MagnoliaWidgetSet/jcrop/jquery.Jcrop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/widgetsets/info.magnolia.widgetset.MagnoliaWidgetSet/ext_token_field/exttokenfield.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/widgetsets/info.magnolia.widgetset.MagnoliaWidgetSet/GridFastNavigation/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/widgetsets/info.magnolia.widgetset.MagnoliaWidgetSet/vaadin-combobox-multiselect/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/widgetsets/info.magnolia.widgetset.MagnoliaWidgetSet/ckeditor/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/widgetsets/info.magnolia.widgetset.MagnoliaWidgetSet/AC4DE99A2EC9EA03C88E0C05CC914CB0.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:10 +0200] "GET /magnoliaAuthor/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:12 +0200] "POST /magnoliaAuthor/.magnolia/admincentral?v-1655881930117 HTTP/1.1" 200 4792
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:12 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/APP/PUBLISHED/browserspeechrecognizer_connector.js HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:12 +0200] "GET /magnoliaAuthor/VAADIN/themes/resurface/fonts/roboto/light/Roboto-Light.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/themes/resurface-admincentral/img/logo-magnolia.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-webpages-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-assets-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-language-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/widgetsets/info.magnolia.widgetset.MagnoliaWidgetSet/deferredjs/AC4DE99A2EC9EA03C88E0C05CC914CB0/14.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/themes/magnolia-icons/fonts/MagnoliaIcons.woff?9qdq7d HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-rssfeed.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/themes/resurface/fonts/roboto/medium/Roboto-Medium.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-people.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/themes/resurface/fonts/roboto/regular/Roboto-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-categories.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-jcr-tools.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-configuration-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-development-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-definitions-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-mail-setting.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-logging-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-cache-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-jcr-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-audit-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-info.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-groovy-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-message-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-publishing-tools.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-security-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/widgetsets/info.magnolia.widgetset.MagnoliaWidgetSet/deferredjs/AC4DE99A2EC9EA03C88E0C05CC914CB0/2.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/VAADIN/appicons/icon-resource-files-app.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/UIDL/?v-uiId=0 HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/UIDL/?v-uiId=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:12:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=0&v-pushId=956e2fc4-db04-4be2-b767-4102fd8e62f3&X-Atmosphere-tracking-id=0&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655881932976 HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:13:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=0&v-pushId=956e2fc4-db04-4be2-b767-4102fd8e62f3&X-Atmosphere-tracking-id=0a3f39f5-aeba-4a3b-9dd4-21f0cad48ac4&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655881934053 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:13:42 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:14:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=0&v-pushId=956e2fc4-db04-4be2-b767-4102fd8e62f3&X-Atmosphere-tracking-id=0a3f39f5-aeba-4a3b-9dd4-21f0cad48ac4&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655881994125 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:15:12 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:15:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=0&v-pushId=956e2fc4-db04-4be2-b767-4102fd8e62f3&X-Atmosphere-tracking-id=0a3f39f5-aeba-4a3b-9dd4-21f0cad48ac4&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655882054230 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:16:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=0&v-pushId=956e2fc4-db04-4be2-b767-4102fd8e62f3&X-Atmosphere-tracking-id=0a3f39f5-aeba-4a3b-9dd4-21f0cad48ac4&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655882114335 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:16:42 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:17:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=0&v-pushId=956e2fc4-db04-4be2-b767-4102fd8e62f3&X-Atmosphere-tracking-id=0a3f39f5-aeba-4a3b-9dd4-21f0cad48ac4&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655882174448 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:17:53 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/UIDL/?v-uiId=0 HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:18:13 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:18:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=0&v-pushId=956e2fc4-db04-4be2-b767-4102fd8e62f3&X-Atmosphere-tracking-id=0a3f39f5-aeba-4a3b-9dd4-21f0cad48ac4&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655882234561 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:19:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=0&v-pushId=956e2fc4-db04-4be2-b767-4102fd8e62f3&X-Atmosphere-tracking-id=0a3f39f5-aeba-4a3b-9dd4-21f0cad48ac4&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655882294665 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:19:44 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [22/Jun/2022:09:20:14 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=0&v-pushId=956e2fc4-db04-4be2-b767-4102fd8e62f3&X-Atmosphere-tracking-id=0a3f39f5-aeba-4a3b-9dd4-21f0cad48ac4&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1655882354674 HTTP/1.1" 200 2069
